,Unnamed: 0.1,Unnamed: 0,Text,Bold/Not,Font Size,Words,Nouns,Verbs,Digits,Punctuations,Enumeration,Text Case,Label
33,33,11651,"EXCEPT  AS  OTHERWISE  EXPRESSLY  SET  FORTH  IN  THIS  SECTION  9.5,  NEITHERPARTY SHALL BE LIABLE TO THE OTHER FOR DAMAGES OF ANY KIND UPON THE EXPIRATION OR TERMINATIONOF  THIS  AGREEMENT  OTHER  THAN  FOR  CAUSE,  AND  OTHER  THAN  THE  EARLY  TERMINATION  FEE  (AND  ANYREMAINING  RECURRING  FEES  DUE  UNDER  THE  AGREEMENT  SHOULD  CLIENT  TERMINATE  THE  AGREEMENTWITHOUT CAUSE PRIOR TO TERM EXPIRATION) PAYABLE IN THE EVENT OF TERMINATION BY CLIENT WITHOUTCAUSE. HOWEVER, ALL AMOUNTS EARNED AND UNPAID BY EITHER PARTY TO THE OTHER AS OF THE DATE OFANY TERMINATION, INCLUDING EARLY TERMINATION FEES, SHALL BE DUE AND PAYABLE TO THE OTHER PARTYIN ACCORDANCE WITH THE TERMS OF THIS AGREEMENT.",0.0,10.0,114,100,0,1,2,0,1,0
34,34,329,"11. NOTICES, GOVERNING LAW AND JURISDICTION",0.0,11.0,8,5,0,1,1,1,1,1
35,35,9407,"Upon written notice of termination by either Party for any reason, the",0.0,10.0,13,4,1,0,0,0,3,0
36,36,5319,VII. SERVICES,1.0,10.0,3,2,0,0,1,1,1,1
37,37,16970,18.  MISCELLANEOUS PROVISIONS: ,1.0,9.0,5,1,0,1,1,1,1,1
38,38,7406,"Delivery shall be made in accordance with the implementation schedule referenced aspart of this Agreement. Minor inconsequential variances from this implementationschedule may be permitted subject to mutual agreement by both parties and conï¬rmedby prior written notice. The equipment shall be installed and placed into good workingorder by representatives of the Independent Contractor. During the time period where theequipment / software is in transit and until the equipment is fully installed in good workingorder, the Independent Contractor and its insurer shall be responsible for the equipment /software and relieve the County of responsibility for all risk of loss or damage to theequipment / software. In addition, Independent Contractor shall hold the County and itsoï¬ƒcers, employees and agents harmless from any risk of loss or damage arising out ofoccurrences during the installation of the equipment /software.",0.0,12.0,142,50,18,0,5,0,3,0
39,39,11744,"any  losses,  actions,  costs,  liabilities,  expenses  (including  reasonable  legal  expenses),  demands,",0.0,9.0,19,6,2,0,0,0,2,0
40,40,66,Introduction ,1.0,11.0,1,1,0,0,0,0,4,0
41,41,8735,"11.2. The terms, covenants and conditions contained in this Agreement shall bind and inure to the benefit",0.0,12.0,19,5,3,1,1,1,3,0
42,42,3456,ARTICLE6 INTELLECTUAL PROPERTY,1.0,10.0,3,3,0,0,0,0,1,1
43,43,14751,19.3.5 loss of customers;,0.0,9.0,5,2,0,1,0,0,2,0
44,44,6011,XX. CONFIDENTIALITY,1.0,11.0,3,2,0,0,1,1,1,1
45,45,8884,Customer shall pay Carrier for the Services. All Charges to Customer for Services will be calculated in accordance,0.0,8.0,19,7,3,0,1,0,3,0
46,46,5825,"ii. If there is a power cut or failure in the connected telephone system, any associated broadband",0.0,10.0,19,7,2,0,1,0,3,0
47,47,3833,ARTICLE13 Agreement,1.0,9.0,2,2,0,0,0,0,4,1
48,48,6170,â€¢ The fault is due to the Resellerâ€™s own network or equipment.,0.0,10.0,13,4,1,0,1,0,3,0
49,49,5361,Initial Term: ,1.0,10.0,3,1,0,0,0,0,4,0
50,50,12670,.  Fyber  shall  take  appropriate  technical  and  organizationalmeasures to ensure a level of security appropriate to the risk involved in Processing your Personal Data.These measures are aimed at ensuring that your Personal Data is reasonably protected against accidental,0.0,10.0,38,9,10,0,1,0,3,0
51,51,1152,Consenting  Party,1.0,10.0,2,1,1,0,0,0,4,0
52,52,17163,(D) â€œCustomer VoIP Applicationâ€ means the VoIP application developed and/or provided by Customer and usedby Customer in connection with (3)VoIP,0.0,9.0,25,9,4,1,0,0,3,0
53,53,3158,24. IT Technical and Consulting Services,1.0,11.0,7,4,0,1,1,1,3,1
54,54,5923,XVIII. Term,1.0,12.0,3,2,0,0,1,1,4,1
55,55,5102,II. Default,1.0,9.0,3,2,0,0,1,1,4,1
56,56,17934,"software including source code, Web authoring tools, type fonts, and application tools,together with any other software, or other inventions whether or not patentable, and",0.0,12.0,31,12,1,0,0,0,3,0
57,57,6412,8) LIABILITIES,1.0,11.0,3,1,0,1,0,0,1,1
58,58,7747,8. Safety.,1.0,11.0,4,1,0,1,2,1,3,1
59,59,840,4. ADDITIONAL SERVICES,1.0,10.0,4,2,0,1,1,1,1,1
60,60,6730,"If required in writing by the Contractor, the Subcontractor must",0.0,11.0,11,3,1,0,0,0,3,0
61,61,2694,3.  OBLIGATIONS,1.0,10.0,3,1,0,1,1,1,1,1
62,62,6408,7) Relationship of Parties,1.0,9.0,5,2,0,1,0,0,3,1
63,63,917,2. OVERVIEW.,1.0,10.0,4,1,0,1,2,1,1,1
64,64,3326,ARTICLE3 Notices,1.0,11.0,2,2,0,0,0,0,4,1
65,65,237,5.0 MANGO TO COMPLETE:,0.0,12.0,5,3,0,1,0,1,1,1
66,66,7978,"Content Square shall, during the Term, provide Customer with access to the CS Solution as described in the Order",0.0,8.0,21,8,2,0,0,0,3,0
67,67,5568,XI. Definitions,1.0,11.0,3,2,0,0,1,1,4,1
68,68,553,7.1 Assignment of this Agreement.,1.0,10.0,6,2,0,1,1,0,3,0
69,69,6574,11) CONDITIONS FOR SERVICES AND PRODUCTS,0.0,11.0,7,5,0,1,0,0,1,1
70,70,16946,"In addition, upon expiration or other termination of a Service for any reason, Licensee shall, at its sole costand expense, remove all alterations, additions and improvements made or installed by Licensee and restorethe  Equipment  Space  and  Facility  to  the  same  or  as  good  condition  as  existed  as  when  Licensee  ï¬rst",0.0,9.0,55,17,5,0,0,0,3,0
71,71,3870,ARTICLE14 CONDITIONS FOR SERVICES AND PRODUCTS,1.0,12.0,6,6,0,0,0,0,1,1
72,72,1785,".  The  terms  set  out  on  each  Schedule  accessible  athttp://www.iland.com/legal/service-schedule (each as may be updated from time to time at the Providerâ€™s solediscretion) are hereby deemed to be incorporated into each Order into which such Scheduleâ€™s terms are to beincorporated pursuant to the terms of such Schedule. The relevant Provider shall provide reasonable notice tothe Customer whenever the terms of an applicable Schedule are updated, and such updated Schedule shallbecome binding on the Customer and the relevant Providers on the thirtieth day following the date on whichsuch notice is provided to the Customer.",0.0,10.0,100,28,15,0,3,0,3,0
73,73,2520,"IN WITNESS WHEREOF, the duly authorized representatives of the parties hereto have caused thisAGREEMENT to be duly executed.",0.0,10.0,20,7,5,0,1,0,3,0
74,74,9537,"f.  Customer  will  provide  (i)  suitable  building  facilities  (including  but  not  limited  to  space,  environmental  control,circuitry,  power,  backup  power,  and  surge  protectors)  for  the  installation,  operation,  and  maintenance  of  Endeavorâ€™sNetwork  in  accordance  with  manufacturerâ€™s  documentation  and  Endeavorâ€™s  installation  standards,  more  fully  described  inthe  applicable  Schedule;  and  (ii)  a  well-lighted  and  safe  working  area  that  complies  with  all  local  safety  standards  andregulations.",0.0,8.0,78,29,4,0,1,0,3,0
75,75,6072,1) Billing and Fees,1.0,9.0,5,2,0,1,0,0,3,1
76,76,11833,under the Service Schedule; and,0.0,9.0,6,2,0,0,0,0,3,0
77,77,6667,12) Notices,0.0,11.0,3,1,0,1,0,0,3,1
78,78,7874,"4.1 Availability. If a Service Outage (as defined below) occurs with respect to Services provided entirely on Sellerâ€™s Facilitiesand  Seller  is  unable  to  provide  the  Services  at  the  Availability  Factors  (as  defined  below),  then  Seller  will  creditBuyerâ€™s invoice for the applicable period with an amount equal to the Service Outage Credit (as defined below) inthe month following the request by Buyer and determination of the applicable Service Outage Credit pursuant to theprovisions set forth below; provided that Buyer must request such Service Outage Credit and such request must bemade  within  thirty  (30)  days  of  the  applicable  Service  Outage.  If  a  Chronic  Service  Outage  (as  defined  below)occurs for any circuit, then Buyer shall have the right to terminate the applicable circuit consistent with paragraph(e) of Section 4.2.",0.0,10.0,146,48,16,3,3,0,3,0
79,79,8222,"than for OSIâ€™s breach, Client agrees to pay the amount equal to the terminated Addendumâ€™s TotalMonthly Service Charge multiplied by number of months left in the then-current term of theterminated Addendum (&quot;Early Termination Charges&quot;), in addition to any undisputed outstandingcharges due hereunder to the date of termination.",0.0,10.0,58,21,6,0,1,0,3,0
80,80,5942,XIX. RECITALS,1.0,12.0,3,2,0,0,1,1,1,1
81,81,586,6. Confidential Information,1.0,8.0,4,1,0,1,1,1,3,1
82,82,8492,(c) which have general applicability to PickNikâ€™s business and which are not based onany Company Conï¬dential Information; or (d) modiï¬cations of or derivatives to any ofthe foregoing.,0.0,12.0,33,11,3,0,1,0,3,0
83,83,6216,4) PAYMENT TERMS,1.0,11.0,4,2,0,1,0,0,1,1
84,84,5788,Each  party  agrees  that  it  shall  have  no  claim  for  innocent  or  negligent  misrepresentation  or  negligent,0.0,10.0,16,5,2,0,0,0,3,0
85,85,12854,"the  Contracts  (Rights  of  Third  Parties)  Ordinance  (Cap.  632  of  the  laws  of  Hong  Kong)  by  anyperson other than the parties stated in the Agreement. Notwithstanding any term of the Agreement,the consent of any person who is not a party is not required to rescind or vary the Agreement at anytime.â€",0.0,10.0,59,19,7,1,2,0,3,0
86,86,6732,14) INTELLECTUAL PROPERTY,0.0,10.0,4,2,0,1,0,0,1,1
87,87,3259,ARTICLE2 SURVIVABILITY,1.0,12.0,2,2,0,0,0,0,1,1
88,88,7663,48.0 Records,1.0,12.0,2,1,0,1,0,1,3,1
89,89,935,"Client  further  warrants  and  represents  that  it  shall  not:  (a)  copy  or  use  theServices,  except  as  expressly  permitted  by  this  Agreement;  (b)  use  the  Services  in  amanner  that:  (i)  violates,  exploits,  or  harms,  or  attempts  to  violate,  exploit,  or  harm,  thelegal  rights  (including  the  rights  of  publicity  and  privacy)  of  any  person  or  third  party;",0.0,11.0,74,20,7,0,0,0,3,0
90,90,4350,SECTION 8 SEVERABILITY,1.0,12.0,3,2,0,1,0,0,1,1
91,91,2690,15. IT Technical and Consulting Services,1.0,11.0,7,4,0,1,1,1,3,1
92,92,495,"3. FEES, BILLING, TAXES, CHARGES.",1.0,10.0,10,4,0,1,2,1,1,1
93,93,1477,"a. Background: [Include background information on the program(s) under which this contract falls, identifying where in theprogram objectives these services will be supporting. Describe the context in which the contract will be working. This maybe similar to what was included in the RFQ/RFP.]",0.0,11.0,54,14,8,0,4,0,3,0
94,94,5878,XVII. Use of Outside Market,1.0,12.0,6,4,0,0,1,1,3,1
95,95,4450,6.2  The  Delivery  Date  is  approximate  only  and  time  for  delivery  shall  not  be  of  theessence  unless  previously  agreed  by  Westway  IT  Ltd  in  writing.  The  Goods  maybe delivered by Westway IT Ltd in advance of the Delivery Date.,0.0,11.0,41,16,4,1,2,0,3,0
96,96,1623,"assigned  or  transferred  by  the  ESC  without  the  express,  prior  written  permission  of  the  Customer.  The  ESCmay, at its sole discretion, employ or subcontract with other individuals or entities to assist in the rendition ofservices provided under this Agreement.",0.0,12.0,44,13,5,0,2,0,3,0
97,97,13017,Under no circumstances nor for any reason whatsoever will the European Union be held liable for damages as a result ofthe work pursuant to this Contract.,0.0,11.0,27,9,2,0,1,0,3,0
98,98,5082,"receipt requested. Notices should be addressed to the other Party at the address shown below or at such other addressas a Party may designate by written notice to the other Party, provided that notices of a change of address shall beeï¬€ective only upon receipt thereof:",0.0,9.0,48,11,8,0,1,0,3,0
99,99,11736,â€œGroupâ€  ,1.0,9.0,1,1,0,0,0,0,3,0
100,100,12149,"3.1 To order a Service, Customer must execute a Service Order provided by DoIT. Customer may orderadditional Services from time to time by executing additional Service Orders. Upon receipt of anexecuted Service Order, DoIT will email an order acknowledgment letter to Customer. DoIT will either:(a) accept the Service Order (â€œService Order Acceptanceâ€) (b) request clariï¬cation of information on theService Order; or (c) reject the Service Order. DoIT shall be under no obligation to accept a Service Order.3.2 After installing a Service, DoIT will email an order completion notiï¬cation to Customer to the emailaddress designated by Customer. If Customer does not notify DoIT in writing within seventy-two (72)hours fol- lowing receipt of the order completion notiï¬cation that the Services do not conform to DoITâ€™sspeciï¬cations (with evidence of such non-conformance included in the notice), or if DoIT has notperformed the testing ensuring compliance with service speciï¬cations listed in the service orderâ€œAcceptance Testingâ€ due to Customerâ€™s failure to satisfy any of its obligations under this MSA related toinstallation, or if Customer begins using the Service for any purpose other than testing, the Service shallbe deemed accepted, and such date shall constitute the â€œService Activation Date.â€",0.0,10.0,220,79,30,2,5,0,3,0
101,101,2843,18. SURVIVABILITY,1.0,9.0,3,1,0,1,1,1,1,1
102,102,11359,3.5  Beta Services,1.0,10.0,3,2,0,1,0,0,3,0
103,103,5656,Unlimited.,0.0,10.0,2,0,1,0,1,0,4,0
104,104,11381,"access to or use of Services, and notify Us promptly of any such unauthorized access or use, and(d) use Services only in accordance with the Documentation and applicable laws and governmentregulations.",0.0,10.0,37,13,1,0,1,0,3,0
105,105,13001,Safeguarding,1.0,11.0,1,0,1,0,0,0,4,0
106,106,657,8. Confidentiality: ,1.0,9.0,4,1,0,1,1,1,3,1
107,107,731,Rates for placing advertisement ,0.0,9.0,4,2,1,0,0,0,3,0
108,108,15507,CONTRACTORâ€™S RATE SCHEDULE ATTACHED.,0.0,9.0,5,4,0,0,1,0,1,0
109,109,5495,"the  defect  arises  because  the  Reseller  or  any  End  User  failed  to  follow  Voip  Unlimited's  oral  or  writteninstructions as to the storage, installation, commissioning, use or maintenance of the Goods or (if there arenone) good trade practice;",0.0,10.0,44,16,3,0,0,0,3,0
110,110,16961,"If  any  action  or  proceeding  is  brought  against  Licensor,  its  employees,  owners,  contractors  or  agents  byreason  of  any  such  claim,  Licensee  shall,  on  notice  from  Licensor,  defend  the  claim  at  Licenseeâ€™s  expensewith counsel reasonably satisfactory to Licensor. The obligations of this section shall survive the expirationor other termination of this License.",0.0,9.0,59,21,4,0,2,0,3,0
111,111,9154,Contractor Tax I.D. No.:,0.0,11.0,7,3,0,0,2,0,4,0
112,112,4312,SECTION 7 Termination Liability,1.0,9.0,4,3,0,1,0,0,3,1
113,113,2655,14. Arbitration; Waiver of Jury Trial,1.0,10.0,8,4,0,1,1,1,3,1
114,114,16398,"communications will not be considered reviewed, screened or approved by CrowdEngine. Statements made in",0.0,10.0,16,3,6,0,1,0,3,0
115,115,13200,"the  property  of  Angani,  and  upon  the  request  of  Angani  or  upon  termination  of  this  Agreement  or  any  Schedule,  You  will  promptlyreturn any and all such materials.",0.0,7.0,30,8,1,0,1,0,3,0
116,116,5482,X. CONDITIONS FOR SERVICES AND PRODUCTS,1.0,12.0,7,6,0,0,1,1,1,1
117,117,12305,Invoices.  ,1.0,12.0,2,1,0,0,1,0,4,0
118,118,15820,"This  Task  Order  shall  have  an  effective  date  of  XXX  and,  unless  earlier  terminated  in",0.0,11.0,16,4,2,0,0,0,3,0
119,119,9767,been issued a license therefore; or,0.0,10.0,7,2,2,0,0,0,2,0
120,120,5579,XII. SERVICES,1.0,11.0,3,2,0,0,1,1,1,1
121,121,4668,SECTION 14 Billing and Fees,1.0,12.0,5,3,0,1,0,0,3,1
122,122,992,28. Governing Law,0.0,9.0,4,1,1,1,1,1,3,1
123,123,3885,ARTICLE14 Agreement,1.0,10.0,2,2,0,0,0,0,4,1
124,124,4344,SECTION 8 PAYMENT TERMS,1.0,11.0,4,3,0,1,0,0,1,1
125,125,3555,ARTICLE8 NULLITY,1.0,12.0,2,2,0,0,0,0,1,1
126,126,3514,ARTICLE7 FORCE MAJEURE,1.0,10.0,3,3,0,0,0,0,1,1
127,127,17501,"&quot; means Third Parties that have entered a contract with Fyber to sell AdInventory via the Service to certain Demand Partners to enable them to serve Ads on thatProperty. Such Supply Partners may be publishers, ad networks and supply side platforms(SSPs).",0.0,10.0,49,18,8,0,2,0,3,0
128,128,1276,INDIVIDUAL PROJECT AGREEMENT #_____,1.0,11.0,5,4,0,0,0,0,1,0
129,129,3078,22. Miscellaneous,1.0,12.0,3,0,0,1,1,1,3,1
130,130,16906,(f) Licensee shall pay or cause to be paid all costs and charges:,0.0,9.0,16,4,4,0,0,0,3,0
131,131,14117,Appendix  1  provides  detailed  descriptions  of  the  Standard  Service  Features  of  the  AT&T  Managed  CareServices which are provided under this Service Attachment and detailed in the Operations Guide which isreferenced in this document.,0.0,12.0,36,13,5,1,1,0,3,0
132,132,80,4. ADDITIONAL SERVICES,1.0,10.0,4,2,0,1,1,1,1,1
133,133,2755," <span style=""position:absolute; border: gray 1px solid; left:0px; top:5944px; width:612px; height:792px;"">",0.0,8.0,24,9,0,1,0,0,2,0
134,134,16505,Subscription Services; and Conï¬dential Information of each party includes the terms and conditions of this,0.0,10.0,16,7,1,0,0,0,3,0
135,135,17610,(a) caused by (i) a breach of material contractual obligations of Fyber underthe Agreement with ordinary negligence (,0.0,10.0,22,6,1,0,0,0,3,0
136,136,5099,II. Arbitration; Waiver of Jury Trial,1.0,11.0,8,5,0,0,1,1,3,1
137,137,6314,6) CONDITIONS FOR SERVICES AND PRODUCTS,1.0,9.0,7,5,0,1,0,0,1,1
138,138,5944,XIX. LIABILITIES,1.0,9.0,3,2,0,0,1,1,1,1
139,139,9336,3.2 Disclosure of Information. ,1.0,10.0,5,2,0,1,1,0,3,0
140,140,5443,IX. SURVIVABILITY,1.0,12.0,3,2,0,0,1,1,1,1
141,141,7614,38.0 Creditor Protection and Bankruptcy,1.0,12.0,5,3,0,1,0,1,3,1
142,142,4552,SECTION 12 PAYMENT TERMS,1.0,11.0,4,3,0,1,0,0,1,1
143,143,13486,"described in this paragraph shall be diï¬€icult or impossible to ascertain. Therefore, the provisions providedfor in this Section are intended to establish liquidated damages in the event of a Contract early terminationand are not intended as a penalty. All applicable amounts indicated, all taxes and regulatory fees associated",0.0,10.0,52,12,11,0,2,0,3,0
144,144,7020,19) General Pricing and Fees,0.0,9.0,6,3,0,1,0,0,3,1
145,145,1519,** Logging of complaint is mandatory to ensure that fault ticket number is generated for further reference &amp; autoescalation through our work flow system.,0.0,11.0,27,11,4,0,1,0,3,0
146,146,8494,â€  means  all information  disclosed  by  one  Party(â€œ,0.0,12.0,10,3,3,1,0,0,3,0
147,147,17823,"Agreement without such consent in connection with any merger, consolidation, sale of all orsubstantially  all  of  such  partyâ€™s  assets  or  shares.  Any  attempt  to  assign  this  Agreementother  than  in  accordance  with  this  provision  will  be  null  and  void.  The  terms  of  thisAgreement will be binding on the parties and their successors and assigns.",0.0,11.0,58,18,4,0,3,0,3,0
148,148,3513,"this Agreement and supersedes any prior understandings, agreements, or representations by or betweenthe Parties, written or oral, including but not limited to, any proposal or term sheet to the extent theyrelate in any way to the subjects of this Agreement.",0.0,10.0,46,13,3,0,1,0,3,0
149,149,1426,by  Mercy  Corps  immediately  upon  written  notice  in  the  event  Mercy  Corpsâ€™  donor(s)  terminates or,0.0,11.0,18,7,2,0,0,0,3,0
150,150,5488,Voip Unlimited is given a reasonable opportunity of examining such Goods; and,0.0,10.0,13,4,3,0,0,0,3,0
151,151,6951,18) SURVIVABILITY,0.0,10.0,3,1,0,1,0,0,1,1
152,152,7391,(ii) to determine whether any individual or entity may provide Services under this,0.0,12.0,15,3,2,0,0,0,3,0
153,153,4228,SECTION 6 LIABILITIES,1.0,9.0,3,2,0,1,0,0,1,1
154,154,757,Such data are collected in fulï¬llment of a legalobligation  and/or  for  the  purposes  of  the,0.0,10.0,15,5,2,0,0,0,3,0
155,155,5514,maintain the Goods in satisfactory condition and keep them insured against all risks for their full price on Voip,0.0,10.0,19,5,3,0,0,0,3,0
156,156,738,3. Event Costs and Payments,1.0,8.0,6,3,0,1,1,1,3,1
157,157,18419,"In  the  event  that  Consultantperforms  services  which  do  not  comply  with  the  requirements  of  this  Agreement,Consultant  shall,  upon  receipt  of  written  notice  from  the  City,  re-perform  theservices  (without  additional  compensation  to  the  Consultant).  If  Consultantâ€™sfailure to perform in accordance with this Agreement causes damages to the City,Consultant  shall  reimburse  the  City  for  the  damages  incurred  (which  may  becharged as an oï¬€set to Consultantâ€™s payment).",0.0,12.0,76,23,8,0,2,0,3,0
158,158,4000,SECTION 1 Termination Liability,1.0,12.0,4,3,0,1,0,0,3,1
159,159,3140,24. CHANGES,1.0,10.0,3,1,0,1,1,1,1,1
160,160,4829,"SECTION 17 Warranties, Disclaimer and Remedies",1.0,11.0,7,4,0,1,0,0,3,1
161,161,6305,installation.,0.0,10.0,2,1,0,0,1,0,2,0
162,162,12922,"a.  â€œWork  Productâ€  means  any  and  all  (1)  intellectual  property,  intellectual  property  rights,  materials,  tangiblepersonal property and other work product that Contractor creates (or has created), alone or jointly with one ormore other persons, (a) that relates to any TO, (b) that results from or arises out of any services performed byContractor  for  Mercy  Corps,  (c)  for  which  Contractor  used  equipment,  supplies,  facilities  or  trade  secret",0.0,11.0,86,26,8,2,1,0,3,0
163,163,13280,11)   Authorized  Use.  ,1.0,10.0,5,1,1,1,1,0,3,1
164,164,12627,set forth in the Agreement.,0.0,10.0,6,2,1,0,1,0,3,0
165,165,1515,Add the appropriate â€œDonor Termsâ€:,1.0,14.0,6,1,0,0,0,0,3,0
166,166,8027,"as restrictive as those in this section 6 (Conï¬dentiality). The Receiving Party will treat all Conï¬dential Informationwith at least the same degree of care as it treats its own information of similar sensitivity, but never with less thanreasonable care.",0.0,8.0,44,11,2,1,2,0,3,0
167,167,9221,Company to maintain or develop business relationships with others.,0.0,11.0,10,4,2,0,1,0,3,0
168,168,1107,"â€ shall mean all services provided by the Service Provider to which the Customer subscribes to, by",0.0,11.0,18,5,2,0,0,0,3,0
169,169,6725,Should Subcontractor fail to commence,0.0,11.0,5,1,2,0,0,0,3,0
170,170,16343,"oï¬€ering, (c) use the Subscription Service or CrowdEngine Technology to store or transmit infringing, libelous,",0.0,10.0,20,7,3,0,0,0,3,0
171,171,16597,"Portal by Customer via the Administrative Accounts; (c) any breach by Customer of any representation,",0.0,10.0,19,6,1,0,0,0,3,0
172,172,15448,"b. Upon advance written notice, Contractor shall provide additional amounts or kinds of insurance as may reasonably be deemed necessary by",0.0,8.0,23,6,4,0,1,0,3,0
